year,value,type
2014.5,4200000,transistors
2014.5,200,watts
2014.8,16,cores
2014.8,3200,frequency
2014.8,66000.4,specint
2014.8,2600000,transistors
2014.8,135,watts
2014.81,24,cores
2014.81,2600,frequency
2014.81,65000.4,specint
2014.81,3800000,transistors
2014.81,135,watts
2014.82,36,cores
2014.82,2300,frequency
2014.82,66000.1,specint
2014.82,5700000,transistors
2014.82,140,watts
2016.33,44,cores
2016.33,2200,frequency
2016.33,73900.2,specint
2016.33,7200000,transistors
2016.33,145,watts
2016.5,272,cores
2016.5,1500,frequency
2016.5,245,watts
2016.67,96,cores
2016.67,4000,frequency
2016.67,8000000,transistors
2017.5,64,cores
2017.5,2200,frequency
2017.5,19200000,transistors
2017.5,180,watts
2017.58,44,cores
2017.58,2100,frequency
2017.58,77900.2,specint
2017.58,140,watts
2017.59,56,cores
2017.59,2500,frequency
2017.59,83600.3,specint
2017.59,205,watts
2018.4,88,cores
2018.4,3400,frequency
2018.4,8000000,transistors
2018.4,190,watts
2018.5,80,cores
2018.5,1200,frequency
2018.5,21100000,transistors
2018.5,250,watts
2019.3,56,cores
2019.3,2700,frequency
2019.3,90900.2,specint
2019.3,8000000,transistors
2019.3,205,watts
2019.8,128,cores
2019.8,2250,frequency
2019.8,78300.4,specint
2019.8,39500000,transistors
2019.8,225,watts
2020.1,128,cores
2020.1,2900,frequency
2020.1,99000,specint
2020.1,30400000,transistors
2020.1,280,watts
2020.2,56,cores
2020.2,2700,frequency
2020.2,97200,specint
2020.2,205,watts
2020.9,8,cores
2020.9,3200,frequency
2020.9,16000000,transistors
2020.9,28,watts
2021.3,80,cores
2021.3,2300,frequency
2021.3,105300,specint
2021.3,290,watts
2021.8,10,cores
2021.8,3200,frequency
2021.8,57000000,transistors
2021.8,30,watts
2021.9,64,cores
2021.9,2600,frequency
2021.9,55000000,transistors
2021.9,100,watts
1974.32692308,2.01691455473,frequency
1974.32692308,6.09756235221,transistors
1974.32692308,0.922239565104,watts
1979.56730769,5.04806571667,frequency
1979.56730769,29.1637757405,transistors
1979.56730769,1.71543789634,watts
1992.40384615,65.5248823737,frequency
1992.40384615,90.5797775943,specint
1992.40384615,1207.90074743,transistors
1992.40384615,5.9352292723,watts
1993.02884615,198.095677855,frequency
1993.02884615,321.967844425,specint
1993.02884615,1715.43789634,transistors
1993.02884615,35.2269465147,watts
1995.72115385,90.5797775943,frequency
1995.72115385,410.469838044,specint
1995.72115385,3105.90022362,transistors
1995.72115385,16.1076153462,watts
1996.34615385,198.095677855,frequency
1996.34615385,1382.37222736,specint
1996.34615385,3651.74127255,transistors
1996.34615385,10.1815172172,watts
1996.44230769,90.5797775943,frequency
1996.44230769,4293.51021008,transistors
1996.44230769,11.341944035,watts
1996.82692308,509.367521678,frequency
1996.82692308,9646.61619911,transistors
1997.35576923,252.547893258,frequency
1997.35576923,1274.87836177,specint
1997.35576923,5473.70326288,transistors
1997.35576923,24.8045441431,watts
1997.54807692,232.909659246,frequency
1997.54807692,8896.4911282,transistors
1997.54807692,17.0007761882,watts
1997.64423077,296.93148482,frequency
1997.64423077,1459.02421563,specint
1997.64423077,7566.6953714,transistors
1997.64423077,32.4876838337,watts
1999.13461538,296.93148482,frequency
1999.13461538,9389.79801048,transistors
1999.47115385,509.367521678,frequency
1999.47115385,2713.89943121,specint
1999.47115385,21673.9216957,transistors
1999.47115385,21.0969051341,watts
2001.20192308,2016.91455473,frequency
2001.20192308,6264.33536657,specint
2001.20192308,42550.6550247,transistors
2001.20192308,72.9930061435,watts
2001.68269231,805.842187761,frequency
2001.68269231,4293.51021008,specint
2001.68269231,25482.9674798,transistors
2001.68269231,98.2171889188,watts
2002.40384615,2246.79009181,frequency
2002.40384615,9389.79801048,specint
2002.40384615,55730.6040127,transistors
2002.40384615,48.6967525166,watts
2002.78846154,1810.55824303,frequency
2002.78846154,38197.1754928,transistors
2002.88461538,1000,frequency
2002.88461538,9389.79801048,specint
2002.88461538,220673.406908,transistors
2002.88461538,98.2171889188,watts
2003.41346154,1175.74326592,frequency
2003.41346154,10181.5172172,specint
2003.41346154,151247.254531,transistors
2003.41346154,155.383983127,watts
2003.60576923,1810.55824303,frequency
2005.86538462,2788.12666541,frequency
2005.86538462,21096.9051341,specint
2006.00961538,2246.79009181,frequency
2006.875,2641.64832039,frequency
2006.875,18938.4202733,specint
2006.875,155383.983127,transistors
2006.875,128.639694494,watts
2007.01923077,2713.89943121,frequency
2007.83653846,2016.91455473,frequency
2007.83653846,14074.6466334,specint
2007.83653846,115478.198469,transistors
2009.27884615,3278.12115139,frequency
2009.27884615,784388.558145,transistors
2009.27884615,132.158088956,watts
2009.42307692,2641.64832039,frequency
2009.66346154,2641.64832039,frequency
2009.66346154,2308241.52676,transistors
2009.66346154,132.158088956,watts
